station,E,N,Z
AC07,1195.54400128,1163.50786822,1161.13144145
ACH1,1595.8583532,1488.04835106,1244.73010249
ACH2,1153.36104313,1224.05359772,1227.30831287
ACUE,1903.82439405,1851.98753113,1563.54720096
AGYE,662.105615286,1073.37558915,1139.62937147
AMIL,1219.75122269,1232.00172851,1248.03195402
APLA,1472.69505529,1419.91548858,1931.85500967
ARNL,1357.5874669,1366.40839189,1371.34515755
COHC,1231.82986149,1234.90541547,1276.57008483
GYC2,1148.89347978,1106.54801899,1104.19402807
GYE1,1240.16946887,1260.31516243,1151.64486006
GYKA,1495.11404707,1260.39272719,1531.5265609
GYPL,1071.76496396,1158.6030234,1112.25683925
ISPG,1265.78923742,1183.29365396,1184.83132632
SALI,2065.66009851,2290.88138281,1815.5140912
