NET.STATION.LOCID.CMPNM MaxVel TimeOfMaxVel DIST AZ BAZ PeakVecVel EstimatedDuration.
EC.LAMO..HHZ 1.5269 17:13:53.590 134.501 182.979 2.98268 1.69318 127.12
EC.LAMO..HHN 1.56516 17:13:50.300 134.501 182.979 2.98268 1.69318 127.12
EC.LAMO..HHE 1.10474 17:13:37.300 134.501 182.979 2.98268 1.69318 127.12
EC.ALAH..HNZ 1.42428 17:13:33.350 139.516 61.9815 241.933 3.78758 123.71
EC.ALAH..HNN 2.98926 17:13:31.440 139.516 61.9815 241.933 3.78758 123.71
EC.ALAH..HNE 3.62888 17:13:32.340 139.516 61.9815 241.933 3.78758 123.71
EC.ALAU..HHZ 2.08994 17:13:38.050 142.02 60.2248 240.177 4.88178 147.4
EC.ALAU..HHN 4.60557 17:13:31.850 142.02 60.2248 240.177 4.88178 147.4
EC.ALAU..HHE 3.97504 17:13:45.110 142.02 60.2248 240.177 4.88178 147.4
EC.ALJ1..HNZ 1.82667 17:13:45.925 156.109 147.409 327.365 5.15552 174.19
EC.ALJ1..HNN 3.5097 17:13:39.385 156.109 147.409 327.365 5.15552 174.19
EC.ALJ1..HNE 4.87598 17:13:43.835 156.109 147.409 327.365 5.15552 174.19
EC.JSCH..HHZ 0.905013 17:13:35.872 161.675 42.3049 222.266 3.26917 112.01
EC.JSCH..HHN 2.70353 17:13:39.442 161.675 42.3049 222.266 3.26917 112.01
EC.JSCH..HHE 2.46548 17:13:35.512 161.675 42.3049 222.266 3.26917 112.01
EC.BOSC..HHZ 1.2567 17:13:40.275 166.996 103.512 283.436 1.80703 105.19
EC.BOSC..HHN 1.28045 17:13:41.095 166.996 103.512 283.436 1.80703 105.19
EC.BOSC..HHE 1.6542 17:13:42.065 166.996 103.512 283.436 1.80703 105.19
EC.AMCR..HNZ 0.962953 17:13:41.361 173.653 179.944 359.944 2.0217 89.54
EC.AMCR..HNN 1.40723 17:13:41.501 173.653 179.944 359.944 2.0217 89.54
EC.AMCR..HNE 1.53563 17:13:40.131 173.653 179.944 359.944 2.0217 89.54
EC.MCRA..BLZ 1.01307 17:13:44.934 173.653 179.944 359.944 2.09917 89.79
EC.MCRA..BLN 1.35607 17:13:41.654 173.653 179.944 359.944 2.09917 89.79
EC.MCRA..BLE 1.77489 17:13:40.134 173.653 179.944 359.944 2.09917 89.79
EC.AMCA..HNZ 1.89183 17:13:44.598 174.778 179.527 359.526 2.61717 96.57
EC.AMCA..HNN 1.90103 17:13:41.868 174.778 179.527 359.526 2.61717 96.57
EC.AMCA..HNE 2.30857 17:13:43.188 174.778 179.527 359.526 2.61717 96.57
EC.CHSH..HHZ 0.916688 17:13:49.235 188.274 39.9633 219.923 3.66478 123.79
EC.CHSH..HHN 3.13757 17:13:44.215 188.274 39.9633 219.923 3.66478 123.79
EC.CHSH..HHE 3.31336 17:13:44.435 188.274 39.9633 219.923 3.66478 123.79
EC.TAMH..HHZ 1.18518 17:13:46.593 189.439 43.1839 223.14 3.16718 164.97
EC.TAMH..HHN 3.1154 17:13:44.423 189.439 43.1839 223.14 3.16718 164.97
EC.TAMH..HHE 2.917 17:13:45.733 189.439 43.1839 223.14 3.16718 164.97
EC.SAGA..HHZ 1.15371 17:13:45.693 194.678 64.8917 244.825 3.43116 131.5
EC.SAGA..HHN 2.93154 17:13:49.393 194.678 64.8917 244.825 3.43116 131.5
EC.SAGA..HHE 2.44146 17:13:48.213 194.678 64.8917 244.825 3.43116 131.5
EC.PORT..HHZ 0.625237 17:13:47.331 197.83 41.7147 221.671 1.26746 162.2
EC.PORT..HHN 1.14266 17:13:53.701 197.83 41.7147 221.671 1.26746 162.2
EC.PORT..HHE 0.958455 17:13:51.441 197.83 41.7147 221.671 1.26746 162.2
EC.APO2..HNZ 1.27046 17:14:35.877 199.875 343.825 163.842 2.28371 293.33
EC.APO2..HNN 1.78944 17:13:54.997 199.875 343.825 163.842 2.28371 293.33
EC.APO2..HNE 2.26807 17:14:00.987 199.875 343.825 163.842 2.28371 293.33
EC.CAB1..HHZ 0.146162 17:14:10.348 271.933 348.838 168.851 0.410022 62.43
EC.CAB1..HHN 0.284912 17:14:11.218 271.933 348.838 168.851 0.410022 62.43
EC.CAB1..HHE 0.403236 17:14:09.298 271.933 348.838 168.851 0.410022 62.43
EC.CAB1..HNZ 0.685636 17:14:17.478 271.933 348.838 168.851 2.02823 242.64
EC.CAB1..HNN 1.96532 17:14:13.198 271.933 348.838 168.851 2.02823 242.64
EC.CAB1..HNE 1.00644 17:14:10.318 271.933 348.838 168.851 2.02823 242.64
