sta,net,dist,azi,phase,time
REVN,EC,3.67,41,P,17:13:47.65
URCU,EC,3.73,28,P,17:13:49.02
ATON,EC,3.74,3,P,17:13:47.86
YAHU,EC,3.76,31,P,17:13:49.20
AES1,EC,3.82,5,P,17:13:49.20
AES2,EC,3.86,6,P,17:13:48.52
ESM1,EC,4.00,14,P,17:13:50.22
CASC,EC,4.02,42,P,17:13:51.89
CASC,EC,4.02,42,S,17:14:37.76
LNGL,EC,4.12,29,P,17:13:52.86
CHL1,EC,4.19,30,P,17:13:54.82
ECEN,EC,4.20,29,P,17:13:55.04
TULM,EC,4.21,32,P,17:13:55.49
CHL2,EC,4.21,30,P,17:13:55.27
ICHI,OP,4.22,30,P,17:13:55.40
CERN,OP,4.22,29,P,17:13:55.43
IMOR,OP,4.24,30,P,17:13:55.51
ITER,OP,4.25,31,P,17:13:55.99
ICAN,OP,4.25,29,P,17:13:55.64
IPAN,OP,4.28,30,P,17:13:56.42
SNLR,EC,4.30,16,P,17:13:54.64
CUM,CM,4.38,30,P,17:13:57.82
ALOB,OP,4.55,31,P,17:14:00.03
BBAC,CM,5.61,30,P,17:14:12.05

